id,name,type,category_tags,neighborhood,price_range,halal,cuisine,interest_tags,coordinates_lat,coordinates_lon,typical_duration_minutes,best_time_of_day,short_description,source_url,last_updated_ts
3ce3b3f54c0a,L'Atelier à Ma Façon,restaurant,Cafe,Kaminoge Sta.,3,unknown,Cafe,Cafe|Popular|Highly Rated,35.61260433791359,139.63881168261892,60,afternoon,"Awards: Selected for Tabelog Sweets TOKYO ""Tabelog 100"" 2023 Selected for Tabelog Sweets TOKYO ""Tabelog 100"" 2023 Selected for Tabelog Sweets TOKYO ""Tabelo.... Specializes in Sweets, Cafe.",https://tabelog.com/en/tokyo/A1317/A131715/13242556/,2025-12-22T21:55:07.224319
cb87042c9021,BAR CENTIFOLIA,restaurant,Cafe,Azabu Juban Sta.,4,unknown,Cafe,Cafe|Popular|Highly Rated,35.65636415872155,139.73420054415584,60,afternoon,"Specializes in Bar, Cafe.",https://tabelog.com/en/tokyo/A1307/A130702/13213226/,2025-12-22T21:55:08.987632
119a587558f9,Le Pristine Restaurant Tokyo,restaurant,Cafe,Toranomon Hills Sta.,4,unknown,Cafe,Cafe|Popular|Highly Rated,35.66754317871833,139.74641091426022,60,afternoon,"Directly connected to Toranomon Hills Station ◆ Experience a new sensation of ""immersive gastronomy"" amidst Tokyo's ever-evolving landscape. Located on the first floor of Toranomon Hills Hotel, our restaurant offers a unique dining experience infused with the deep passion of Michelin-starred chef Sergio Herman for music, art, design, and f...Read moreashion. Paying homage to the traditions of Zeeland in the Netherlands, where the chef has roots, Sergio presents his original style of cuisine known as ""NEW ITALIAN,"" elevating pure Italian flavors. Perfect for various occasions, including business meetings and girls' nights out.",https://tabelog.com/en/tokyo/A1308/A130802/13292180/,2025-12-22T21:55:10.769645
018a2853cdcd,patisserie Paris S'eveille,restaurant,Cafe,Jiyugaoka Sta.,2,unknown,Cafe,Cafe|Popular|Highly Rated,35.606971537926015,139.66658228254258,60,afternoon,"Awards: The Tabelog Award 2023 Bronze winner The Tabelog Award 2023 Bronze winner The Tabelog Award 2022 Bronze winner The Tabelog Award 2022 Bronze winner.... Specializes in Cake, Cafe, Bread.",https://tabelog.com/en/tokyo/A1317/A131703/13005198/,2025-12-22T21:55:12.578097
4dd46ed3e491,Au Bon Vieux Temps Oyamadai Ten,restaurant,Cafe,Oyamadai Sta.,3,unknown,Cafe,Cafe|Popular|Highly Rated,35.60407422872851,139.65176784368546,60,afternoon,"Awards: Selected for Tabelog Sweets TOKYO ""Tabelog 100"" 2023 Selected for Tabelog Sweets TOKYO ""Tabelog 100"" 2023 Selected for Tabelog Sweets TOKYO ""Tabelo.... Specializes in Cake, Side dishes, Delicatessen, Cafe.",https://tabelog.com/en/tokyo/A1317/A131715/13181654/,2025-12-22T21:55:14.731697
0fa061f6ce04,Udon Maruka,restaurant,Udon,Jimbocho Sta.,2,unknown,Udon,Udon|Popular|Highly Rated,35.696707437898816,139.7601316833834,60,afternoon,"Awards: Selected for Tabelog Udon (Wheat noodles) EAST ""Tabelog 100"" 2024 Selected for Tabelog Udon (Wheat noodles) EAST ""Tabelog 100"" 2024 Selected for Ta.... Specializes in Udon (Wheat noodles).",https://tabelog.com/en/tokyo/A1310/A131003/13000629/,2025-12-22T21:55:27.717961
eef8d61ba8ad,Murayama Mangetsu Udon,restaurant,Udon,Hakonegasaki Sta.,2,unknown,Udon,Udon|Popular|Highly Rated,35.75773073854417,139.37935771542848,60,afternoon,"Awards: Selected for Tabelog Udon (Wheat noodles) EAST ""Tabelog 100"" 2024 Selected for Tabelog Udon (Wheat noodles) EAST ""Tabelog 100"" 2024 Selected for Ta.... Specializes in Udon (Wheat noodles).",https://tabelog.com/en/tokyo/A1329/A132901/13026307/,2025-12-22T21:55:31.264876
0bc80cbc46db,Sanuki Udon Iwai,restaurant,Udon,Jujo Sta.,1,unknown,Udon,Udon|Popular|Highly Rated,35.76154027864987,139.71887692522898,60,afternoon,"Awards: Selected for Tabelog Udon (Wheat noodles) EAST ""Tabelog 100"" 2024 Selected for Tabelog Udon (Wheat noodles) EAST ""Tabelog 100"" 2024 Selected for Ta.... Specializes in Udon (Wheat noodles).",https://tabelog.com/en/tokyo/A1323/A132304/13141130/,2025-12-22T21:55:33.326573
214d50193c2f,KAMAYOSHI,restaurant,Udon,Awajicho Sta.,2,unknown,Udon,Udon|Popular|Highly Rated,35.69369613790333,139.76832178334726,60,afternoon,"Next Saturday Opening: 12/27 A unique bowl that fuses Sanuki and Hakata flavors, crafted by a chef from Fukuoka. A hearty udon made with the strong noodles of Sanuki and the gentle dashi of Hakata. We use carefully selected ingredients to prepare our dashi every morning, paired with our unique homemade noodles. ...Read moreEnjoy a bowl that is freshly made, cut, and boiled, and don't miss out on trying it with our piping hot tempura!",https://tabelog.com/en/tokyo/A1310/A131002/13201863/,2025-12-22T21:55:35.892677
1ce86e07e0ed,Teuchi Udon Sumita,restaurant,Udon,Akabane Iwabuchi Sta.,2,unknown,Udon,Udon|Popular|Highly Rated,35.780508058640294,139.72663138541512,60,afternoon,"Awards: Selected for Tabelog Udon (Wheat noodles) EAST ""Tabelog 100"" 2024 Selected for Tabelog Udon (Wheat noodles) EAST ""Tabelog 100"" 2024 Selected for Ta.... Specializes in Udon (Wheat noodles), Tempura, Oden.",https://tabelog.com/en/tokyo/A1323/A132305/13003783/,2025-12-22T21:55:38.577875
ccfdd8f1557d,Tonkatsu Narikura,restaurant,Tonkatsu,Minami Asagaya Sta.,3,unknown,Tonkatsu,Tonkatsu|Popular|Highly Rated,35.69771383785951,139.63875358347863,60,afternoon,"The goal was to bring out the ultimate charm of pork. After much trial and error, we arrived at our white tonkatsu. At first glance, this white tonkatsu might look like it's uncooked, but the crispy, fragrant coating and the rich flavor of the meat and sweet fat are top-notch. This is the result of the skill of the...Read more chef, Naruzo Mitani, who carefully adjusts the cooking temperature based on the condition of the meat. Using the high-moisture brand pork, TOKYO X, as a base, he incorporates several types depending on the day's quality. The coating is made with specially ordered breadcrumbs that achieve both crispiness and melt-in-your-mouth texture. This dish stands apart from traditional tonkatsu, making it a truly exceptional new meat dish.",https://tabelog.com/en/tokyo/A1319/A131905/13236380/,2025-12-22T21:55:51.268735
5ac25c7d5693,Katsu Pulipo,restaurant,Tonkatsu,Seibu Shinjuku Sta.,3,unknown,Tonkatsu,Tonkatsu|Popular|Highly Rated,35.69475793788186,139.70301258340376,60,afternoon,"Pretty Pork Factory & Katsu is also open in Harajuku! Introducing the new concept from Pretty Porkfactory, 【KATSU Puripo】. With over 150 types of premium pork from across the country sampled, only 12 to 13 varieties are selected through a rigorous proces...Read mores. The owner, Takanobu Takashi, believes in the inherent potential of pork, which is why there is no room for compromise. Our tonkatsu, carefully double-fried with a focus on the quality of breadcrumbs and oil, is a true testament to our passion. Enjoy our tonkatsu, infused with the belief of ""transforming tonkatsu from the ground up,"" to your heart's content.",https://tabelog.com/en/tokyo/A1304/A130401/13264309/,2025-12-22T21:55:53.969986
3fc99364a739,Tonkatsu Nanaido,restaurant,Tonkatsu,Gaiemmae Sta.,2,unknown,Tonkatsu,Tonkatsu|Popular|Highly Rated,35.67183293789986,139.7138147831646,60,afternoon,Please note that some items may be sold out on certain days. We apologize for any inconvenience. We apologize for any inconvenience caused by our new system. We are currently working on improving our ordering system and operations. Thank you for your understanding. Imai...Read more,https://tabelog.com/en/tokyo/A1306/A130603/13229075/,2025-12-22T21:55:56.957701
d95d2723da9a,Pretty Pork Factory & Katsu Puripo,restaurant,Tonkatsu,Meiji Jingumae Sta.,4,unknown,Tonkatsu,Tonkatsu|Popular|Highly Rated,35.668424947177506,139.70489861709638,60,afternoon,"Enjoy top-quality pork shabu-shabu, Japanese-style samgyeopsal, and tonkatsu in Harajuku! Finally opened at Harajuku Harakado....Read more",https://tabelog.com/en/tokyo/A1306/A130601/13295369/,2025-12-22T21:55:58.640487
88190568aa75,Tonkatsu Tonta,restaurant,Tonkatsu,Takadanobaba Sta.,2,unknown,Tonkatsu,Tonkatsu|Popular|Highly Rated,35.715545448675144,139.70650431477304,60,afternoon,Awards: The Tabelog Award 2020 Bronze winner The Tabelog Award 2020 Bronze winner The Tabelog Award 2019 Bronze winner The Tabelog Award 2019 Bronze winner.... Specializes in Tonkatsu (Pork cutlet).,https://tabelog.com/en/tokyo/A1305/A130503/13003984/,2025-12-22T21:56:01.587793
05a3e706d8df,Homemade Ramen Muginawa,restaurant,Ramen,Omorikaigan Sta.,2,unknown,Ramen,Ramen|Popular|Highly Rated,35.590785137957376,139.73281228233262,60,afternoon,"No chemical seasonings are used at all. Immerse yourself in a rich bowl of noodles and ingredients, harmonized with a dashi made from natural ingredients. In the hidden ramen hotspot of Omori, you'll find the renowned shop ""Muginawa,"" which always has a line of eager customers. They pride themselves on using no chemical seasonings or yeast extracts, foc...Read moreusing instead on a rich broth made from natural ingredients that delivers a deep, comforting flavor. The delicate soup perfectly clings to their homemade noodles, creating a harmonious blend with the flavorful toppings. This remarkable balance is a testament to the meticulous craftsmanship of Chef Fukaya, who spares no effort in his work. Be sure to savor every last drop of this taste, recognized by countless ramen enthusiasts.",https://tabelog.com/en/tokyo/A1315/A131502/13194812/,2025-12-22T21:56:13.318587
c83f541fedfb,Raa Menya Shima,restaurant,Ramen,Nishi Shinjuku Gochome Sta.,2,unknown,Ramen,Ramen|Popular|Highly Rated,35.68834184165506,139.68087413976107,60,afternoon,"Awards: The Tabelog Award 2022 Bronze winner The Tabelog Award 2022 Bronze winner Selected for Tabelog Ramen TOKYO ""Tabelog 100"" 2025 Selected for Tabelog .... Specializes in Ramen, Tsukemen (Dipping noodles).",https://tabelog.com/en/tokyo/A1304/A130401/13247487/,2025-12-22T21:56:15.624284
02175f4e8d47,Chuka Soba Shibata,restaurant,Ramen,Komae Sta.,2,unknown,Ramen,Ramen|Popular|Highly Rated,35.63197375868687,139.5766496440199,60,afternoon,"Awards: Selected for Tabelog Ramen TOKYO ""Tabelog 100"" 2025 Selected for Tabelog Ramen TOKYO ""Tabelog 100"" 2025 受賞・選出歴 閉じる 百名店 選出歴 ラーメン 百名店 2025 選出店 食べログ ラ.... Specializes in Ramen.",https://tabelog.com/en/tokyo/A1326/A132603/13300645/,2025-12-22T21:56:17.106122
643c55f90d37,Japanese Ramen Gokan,restaurant,Ramen,Ikebukuro Sta.,2,unknown,Ramen,Ramen|Popular|Highly Rated,35.73308813786226,139.71791438378045,60,afternoon,"Awards: Selected for Tabelog Ramen TOKYO ""Tabelog 100"" 2025 Selected for Tabelog Ramen TOKYO ""Tabelog 100"" 2025 Selected for Tabelog Ramen TOKYO ""Tabelog 1.... Specializes in Ramen, Tsukemen (Dipping noodles).",https://tabelog.com/en/tokyo/A1305/A130501/13284009/,2025-12-22T21:56:19.661297
3af8f0f382cb,Ramen FeeL,restaurant,Ramen,Hinatawada Sta.,2,unknown,Ramen,Ramen|Popular|Highly Rated,35.78872063766892,139.22178498469017,60,afternoon,"Awards: Selected for Tabelog Ramen TOKYO ""Tabelog 100"" 2025 Selected for Tabelog Ramen TOKYO ""Tabelog 100"" 2025 Selected for Tabelog Ramen TOKYO ""Tabelog 1.... Specializes in Ramen.",https://tabelog.com/en/tokyo/A1330/A133003/13254631/,2025-12-22T21:56:22.560080
3ded35116468,Nihonbashi Kakigaracho Sugita,restaurant,Sushi,Suitengumae Sta.,4,unknown,Sushi,Sushi|Popular|Highly Rated,35.68193905872146,139.78492840437863,60,afternoon,"Edo-style sushi that conveys the essence of tradition. Authentic Edo-mae sushi showcasing evolving craftsmanship and meticulous attention to detail. Known for its difficulty in securing reservations, ""Nihonbashi Kakigara-cho Sugita"" is a sushi restaurant in Tokyo that earned its first Michelin star in the 2017 Tokyo guide. Not only is the quality ...Read moreof the sushi and appetizers exceptional, but the warm personality and attentive service of Takahiro Sugita also continue to charm visitors. Standing at the sushi counter, Sugita trained at the long-established ""Nihonbashi Kakigara-cho Miyakozushi,"" founded in the 20th year of the Meiji era. He selects high-quality fish daily from Tsukiji, including lightly marinated Omakase tuna and vinegared Amakusa kohada. He also incorporates traditional Edo-style techniques, using red vinegar and nikiri soy sauce to maintain authenticity. The menu consists solely of the ""Omakase Course,"" featuring a selection of appetizers and sushi. You'll be captivated by the exquisite melt-in-your-mouth sushi and the graceful, efficient movements of the sushi-making process.",https://tabelog.com/en/tokyo/A1302/A130204/13018162/,2025-12-22T21:56:36.887027
68df58da9ddf,Sushi Saitou,restaurant,Sushi,Roppongi Itchome Sta.,4,unknown,Sushi,Sushi|Popular|Highly Rated,35.66538543791217,139.73959728308142,60,afternoon,"Exquisite and meticulous craftsmanship meets passion in these gem-like sushi pieces. Immerse yourself in the delicate aftertaste of sushi recognized by the world. The sushi crafted by Chef Koji Saito is elegant and beautiful, bringing smiles to all who visit. Each piece is a delicate masterpiece made using simple techniques like simmering, steaming, pickling, a...Read morend grilling. The rice is made with larger grains of aged rice, seasoned only with red vinegar and salt. The temperature of the rice is adjusted to match the toppings, resulting in sushi that truly lives up to its reputation as the pinnacle of excellence.",https://tabelog.com/en/tokyo/A1308/A130802/13015251/,2025-12-22T21:56:40.117487
347015e1bd80,Higashiazabu Amamoto,restaurant,Sushi,Akabanebashi Sta.,4,unknown,Sushi,Sushi|Popular|Highly Rated,35.65731823791852,139.74345608299723,60,afternoon,"The Future of Modern Edomae Sushi: Honoring the Spirit of Renowned Restaurants with Exquisite Fish and Craftsmanship Masamichi Amano, who trained under the renowned Nagano Mitsuyasu at the famous restaurant ""Umi,"" has now opened his own establishment. With a refined eye for quality, strong relationships with supplie...Read morers, and skills that transcend traditional Edomae sushi, he brings a unique touch to both his craft and customer service. His dedication to sourcing and hospitality reflects the spirit of his mentor while showcasing his own brilliance as a sushi chef. Just six months after opening, he earned two Michelin stars in the Tokyo 2017 guide, marking a bright future for modern Edomae sushi right here in Higashi Azabu.",https://tabelog.com/en/tokyo/A1314/A131401/13196420/,2025-12-22T21:56:42.822231
f5da10aa8d91,Sushi Arai,restaurant,Sushi,Higashi Ginza Sta.,4,unknown,Sushi,Sushi|Popular|Highly Rated,35.66808093791782,139.76272298309246,60,afternoon,"Kyuubei: A New Generation of Ginza Sushi Focused on ""Nigiri,"" Established Independently at the Young Age of 33 After Working at Sushi Takumi. In 2015, ""Sushi Arai"" opened its doors in Ginza 8-chome, bringing a nostalgic atmosphere reminiscent of Showa-era sushi restaurants. The owner, Yuichi Arai, personally attends to each guest with care....Read more With refined techniques honed at renowned establishments like ""Ginza Kyubey"" and ""Sushi Takumi,"" his hospitality creates a warm and inviting environment, embodying the best of both worlds.One of the highlights is the tuna, which Arai prepares with great passion. Depending on the day's catch, he adjusts the knife techniques and the vinegar blend for the rice, showcasing his unique style. The sushi is not only delicate but also features generous portions of rice made from Toyama-grown Koshihikari, providing an overwhelming sense of satisfaction with each meal.As he continues to refine his craft in the competitive Ginza area, this young chef, who has learned from two prestigious restaurants, is definitely one to watch.",https://tabelog.com/en/tokyo/A1301/A130101/13188186/,2025-12-22T21:56:46.180053
4bc7d56ba55e,Sawada,restaurant,Sushi,Ginza Sta.,4,unknown,Sushi,Sushi|Popular|Highly Rated,35.670470398722486,139.76525328427655,60,afternoon,Awards: The Tabelog Award 2025 Gold winner The Tabelog Award 2025 Gold winner The Tabelog Award 2024 Silver winner The Tabelog Award 2024 Silver winner The.... Specializes in Sushi.,https://tabelog.com/en/tokyo/A1301/A130101/13001043/,2025-12-22T21:56:49.006617
aec2a54e0d14,Akasaka Raimon,restaurant,Yakiniku,Akasaka Mitsuke Sta.,4,unknown,Yakiniku,Yakiniku|Popular|Highly Rated,35.67687750870917,139.7362534443616,60,afternoon,"Awards: The Tabelog Award 2025 Silver winner The Tabelog Award 2025 Silver winner The Tabelog Award 2024 Silver winner The Tabelog Award 2024 Silver winner.... Specializes in Yakiniku (Japanese BBQ), Tripe.",https://tabelog.com/en/tokyo/A1308/A130801/13224635/,2025-12-22T21:56:59.721060
229e45485ecb,Yakiniku Jumbo Hanare,restaurant,Yakiniku,Hongo Sanchome Sta.,4,unknown,Yakiniku,Yakiniku|Popular|Highly Rated,35.70662123789326,139.7624365834819,60,afternoon,"A Must-Visit Meat Haven for Hungry Diners! Indulge in the Essence of Meat that Will Leave Foodies in Awe. As soon as you step inside, the sound and aroma of sizzling meat will ignite your appetite. At ""Yakiniku Jumbo Hanare,"" you can indulge in exquisite grilled meat. Each piece is cut like a work of art ...Read moreand served at the perfect thickness, depending on the marbling of the meat that day. The quality of the meat is exceptional, and the delicious sauce that enhances its flavor is truly impressive. Be sure to come with an empty stomach and prepare to satisfy your taste buds with a sensational experience.",https://tabelog.com/en/tokyo/A1310/A131004/13160962/,2025-12-22T21:57:01.313472
55edc81fee71,Sumiyaki Kinryusan,restaurant,Yakiniku,Shirokane Takanawa Sta.,4,unknown,Yakiniku,Yakiniku|Popular|Highly Rated,35.645338658826475,139.72831329100052,60,afternoon,Awards: The Tabelog Award 2025 Bronze winner The Tabelog Award 2025 Bronze winner The Tabelog Award 2024 Bronze winner The Tabelog Award 2024 Bronze winner.... Specializes in Yakiniku (Japanese BBQ).,https://tabelog.com/en/tokyo/A1316/A131602/13001625/,2025-12-22T21:57:03.989095
3d1d8290b095,YORONIKU TOKYO AZABUDAI HILLS,restaurant,Yakiniku,Kamiyacho Sta.,4,unknown,Yakiniku,Yakiniku|Popular|Highly Rated,35.6611653287206,139.7407919641997,60,afternoon,"A meat kaiseki that transcends the norms of yakiniku and explores the possibilities of Wagyu. Introducing ""Yoroniku,"" a restaurant that continues to create new value in Tokyo's yakiniku scene. The third location in Azabudai, following Minami Aoyama and Ebisu, features its first-ever fully priv...Read moreate rooms. Indulge in a stunning course that includes thinly sliced Chateaubriand grilled rare over low heat, and sukiyaki infused with the aroma of truffles from whipped egg yolk. From sashimi and soup dishes to grilled items that highlight the unique textures and flavors of each cut, the skillful presentation reveals the untapped allure of Wagyu beef.",https://tabelog.com/en/tokyo/A1307/A130701/13291424/,2025-12-22T21:57:06.917377
